# topo-grid-100.txt

#   /--------\	    /-\	        /-\
#   |Consumer|<---->| |<------->| |
#   \--------/	    \-/	        \-/
#       ^   	     ^ 	         ^
#       |            |           |   1Mbps/10ms delay
#       v            v           v
#      /-\          /-\         /-\
#      | |<-------->| |<------->| |
#      \-/          \-/         \-/
#       ^   	     ^ 	         ^
#       |            |           |
#       v            v           v
#      /-\	    /-\	     /--------\
#      | |<-------->| |<---->|Producer|
#      \-/          \-/      \--------/

# any empty lines and lines starting with '#' symbol is ignored
#
# The file should contain exactly two sections: router and link, each starting with the corresponding keyword
#
# router section defines topology Nodes and their relative positions (e.g., to use in visualizer)
router

# each line in this section represents one router and should have the following data
# Node  comment     yPos    xPos
Node73    Node74    1Mbps    1    10ms    20
Node74    Node75    1Mbps    1    10ms    20
Node75    Node76    1Mbps    1    10ms    20
Node76    Node77    1Mbps    1    10ms    20
Node77    Node78    1Mbps    1    10ms    20
Node78    Node79    1Mbps    1    10ms    20
Node80    Node81    1Mbps    1    10ms    20
Node81    Node82    1Mbps    1    10ms    20
Node82    Node83    1Mbps    1    10ms    20
Node83    Node84    1Mbps    1    10ms    20
Node84    Node85    1Mbps    1    10ms    20
Node85    Node86    1Mbps    1    10ms    20
Node86    Node87    1Mbps    1    10ms    20
Node87    Node88    1Mbps    1    10ms    20
Node88    Node89    1Mbps    1    10ms    20
Node90    Node91    1Mbps    1    10ms    20
Node91    Node92    1Mbps    1    10ms    20
Node92    Node93    1Mbps    1    10ms    20
Node93    Node94    1Mbps    1    10ms    20
Node94    Node95    1Mbps    1    10ms    20
Node95    Node96    1Mbps    1    10ms    20
Node96    Node97    1Mbps    1    10ms    20
Node97    Node98    1Mbps    1    10ms    20
Node98    Node99    1Mbps    1    10ms    20
Node0    Node10    1Mbps    1    10ms    20
Node10    Node20   1Mbps    1    10ms    20
Node20    Node30    1Mbps    1    10ms    20
Node30    Node40    1Mbps    1    10ms    20
Node40    Node50    1Mbps    1    10ms    20
Node50    Node60    1Mbps    1    10ms    20
Node60    Node70    1Mbps    1    10ms    20
Node70    Node80    1Mbps    1    10ms    20
Node80    Node90    1Mbps    1    10ms    20
Node1    Node11    1Mbps    1    10ms    20
Node11    Node21    1Mbps    1    10ms    20
Node21    Node31    1Mbps    1    10ms    20
Node31    Node41    1Mbps    1    10ms    20
Node41    Node51    1Mbps    1    10ms    20
Node51    Node61    1Mbps    1    10ms    20
Node61    Node71    1Mbps    1    10ms    20
Node71    Node81    1Mbps    1    10ms    20
Node81    Node91    1Mbps    1    10ms    20
Node2    Node12    1Mbps    1    10ms    20
Node12    Node22    1Mbps    1    10ms    20
Node22    Node32   1Mbps    1    10ms    20
Node32    Node42   1Mbps    1    10ms    20
Node42    Node52    1Mbps    1    10ms    20
Node52    Node62    1Mbps    1    10ms    20
Node62    Node72    1Mbps    1    10ms    20
Node72    Node82    1Mbps    1    10ms    20
Node82    Node92    1Mbps    1    10ms    20
Node3    Node13    1Mbps    1    10ms    20
Node13    Node23    1Mbps    1    10ms    20
Node23    Node33    1Mbps    1    10ms    20
Node33    Node43    1Mbps    1    10ms    20
Node43    Node53    1Mbps    1    10ms    20
Node53    Node63    1Mbps    1    10ms    20
Node63    Node73    1Mbps    1    10ms    20
Node73    Node83    1Mbps    1    10ms    20
Node83    Node93    1Mbps    1    10ms    20
Node4    Node14    1Mbps    1    10ms    20
Node14    Node24    1Mbps    1    10ms    20
Node24    Node34    1Mbps    1    10ms    20
Node34    Node44    1Mbps    1    10ms    20
Node44    Node54    1Mbps    1    10ms    20
Node54    Node64    1Mbps    1    10ms    20
Node64    Node74    1Mbps    1    10ms    20
Node74    Node84    1Mbps    1    10ms    20
Node84    Node94    1Mbps    1    10ms    20
Node5    Node15    1Mbps    1    10ms    20
Node15    Node25    1Mbps    1    10ms    20
Node25    Node35    1Mbps    1    10ms    20
Node35    Node45    1Mbps    1    10ms    20
Node45    Node55    1Mbps    1    10ms    20
Node55    Node65    1Mbps    1    10ms    20
Node65    Node75    1Mbps    1    10ms    20
Node75    Node85    1Mbps    1    10ms    20
Node85    Node95    1Mbps    1    10ms    20
Node6    Node16    1Mbps    1    10ms    20
Node16    Node26    1Mbps    1    10ms    20
Node26    Node36    1Mbps    1    10ms    20
Node36    Node46    1Mbps    1    10ms    20
Node46    Node56    1Mbps    1    10ms    20
Node56    Node66    1Mbps    1    10ms    20
Node66    Node76    1Mbps    1    10ms    20
Node76    Node86    1Mbps    1    10ms    20
Node86    Node96    1Mbps    1    10ms    20
Node7    Node17    1Mbps    1    10ms    20
Node17    Node27    1Mbps    1    10ms    20
Node27    Node37    1Mbps    1    10ms    20
Node37    Node47    1Mbps    1    10ms    20
Node47    Node57    1Mbps    1    10ms    20
Node57    Node67    1Mbps    1    10ms    20
Node67    Node77    1Mbps    1    10ms    20
Node77    Node87    1Mbps    1    10ms    20
Node87    Node97    1Mbps    1    10ms    20
Node8    Node18    1Mbps    1    10ms    20
Node18    Node28    1Mbps    1    10ms    20
Node28    Node38    1Mbps    1    10ms    20
Node38    Node48    1Mbps    1    10ms    20
Node48    Node58    1Mbps    1    10ms    20
Node58    Node68    1Mbps    1    10ms    20
Node68    Node78    1Mbps    1    10ms    20
Node78    Node88    1Mbps    1    10ms    20
Node88    Node98    1Mbps    1    10ms    20
Node9    Node19    1Mbps    1    10ms    20
Node19    Node29    1Mbps    1    10ms    20
Node29    Node39    1Mbps    1    10ms    20
Node39    Node49    1Mbps    1    10ms    20
Node49    Node59    1Mbps    1    10ms    20
Node59    Node69    1Mbps    1    10ms    20
Node69    Node79    1Mbps    1    10ms    20
Node79    Node89    1Mbps    1    10ms    20
Node89    Node99    1Mbps    1    10ms    20

